,University,Established,Specialization,pType,Location,Campuses,Overall Ranking,Overall Score,Business School Ranking,Business School Score,Medicine School Ranking,Medicine School Score,Engineering School Ranking,Engineering School Score,Province,Sector,Female Non-PhD,Female PhD,Male Non-PhD,Male PhD,Grand Total
1,Quaid-i-Azam University,1967,General,Public,Islamabad,,1,100.00 ,,,,,,,,,,,,,
3,National Defence University,1970[3],General,Public,Islamabad,,,,,,,,,,Federal,Public,13.0,12.0,38.0,22.0,85.0
4,Allama Iqbal Open University,1974,General,Public,Islamabad,,,,,,,,,,Federal,Public,37.0,28.0,35.0,82.0,182.0
5,International Islamic University,1980,General,Public,Islamabad,,,,,,,,,,Federal,Public,168.0,75.0,178.0,150.0,571.0
7,COMSATS University,1998[4],General,Public,Islamabad,"Abbottabad, Attock, Lahore, Vehari, Sahiwal, Wah",6,76.51 ,,,,,,,Federal,Public,542.0,192.0,928.0,925.0,2587.0
8,National University of Modern Languages,1969,General,Public,Islamabad,"Faisalabad, Lahore, Multan, Karachi, Hyderabad, Peshawar, Quetta, Gwadar",,,,,,,,,Federal,Public,382.0,60.0,297.0,72.0,811.0
9,National University of Computer and Emerging Sciences,2000,General,Private,Islamabad,"Chiniot, Karachi, Lahore, Peshawar",,,,,,,,,,,,,,,
10,Bahria University,2000,General,Public,Islamabad,"Karachi, Lahore",,,,,,,,,Federal,Public,290.0,34.0,333.0,100.0,757.0
14,Foundation University,2002,General,Private,Islamabad,Rawalpindi,,,,,,,,,Federal,Private,201.0,7.0,94.0,20.0,322.0
15,Riphah International University,2002,General,Private,Islamabad,"Faisalabad, Lahore",,,,,,,,,Federal,Private,168.0,19.0,207.0,106.0,500.0
16,Air University,2002,General,Public,Islamabad,Multan,,,,,,,8,57.22 ,Federal,Public,37.0,20.0,75.0,73.0,205.0
17,Shifa Tameer-e-Millat University,2012,General,Private,Islamabad,,,,,,,,,,,,,,,,
19,Muslim Youth University,2015,General,Private,Islamabad,,,,,,,,,,Federal,Private,5.0,1.0,17.0,8.0,31.0
21,Pakistan Institute of Development Economics,1957,General,Public,Islamabad,,,,,,,,,,,,,,,,
22,National Skills University,2018,General,Public,Islamabad,Islamabad,,,,,,,,,,,,,,,
24,Sindh Madressatul Islam University,1885,General,Public,Karachi,,,,,,,,,,Sindh,Public,21.0,5.0,30.0,15.0,71.0
27,University of Sindh,1947,General,Public,Jamshoro,"Badin, Dadu, Mirpur Khas",,,,,,,,,Sindh,Public,128.0,86.0,254.0,199.0,667.0
28,University of Karachi,1951,General,Public,Karachi,,8,70.09 ,,,,,,,Sindh,Public,145.0,211.0,114.0,198.0,668.0
29,Institute of Business Administration,1955,General,Public,Karachi,,,,3,96.00 ,,,,,Sindh,Public,25.0,19.0,22.0,56.0,122.0
32,Pakistan Naval Academy,1970,General,Military,Karachi,,,,,,,,,,,,,,,,
33,Shah Abdul Latif University,1974,General,Public,Khairpur,Shikarpur,,,,,,,,,,,,,,,
35,Sindh Agriculture University,1977,General,Public,Tandojam,"Dokri, Khairpur, Umerkot",,,,,,,,,Sindh,Public,29.0,32.0,94.0,125.0,280.0
38,Hamdard University,1991,General,Private,Karachi,Islamabad,,,,,,,,,Sindh,Private,160.0,7.0,235.0,39.0,441.0
39,COMMECS Institute of Business and Emerging Sciences,1993,General,Private,Karachi,,,,12,41.79 ,,,,,Sindh,Private,2.0,1.0,1.0,1.0,5.0
41,Sukkur IBA University,1994,General,Public,Sukkur,,,,5,75.82 ,,,,,,,,,,,
42,Textile Institute of Pakistan,1994,General,Private,Karachi,,,,,,,,21,23.40 ,Sindh,Private,5.0,0.0,10.0,2.0,17.0
43,Institute of Business Management,1995,General,Private,Karachi,,,,8,72.91 ,,,,,Sindh,Private,31.0,16.0,58.0,31.0,136.0
47,Greenwich University,1987,General,Private,Karachi,Mauritius,,,10,58.75 ,,,,,Sindh,Private,20.0,2.0,29.0,19.0,70.0
48,Jinnah University for Women,1998,General,Private,Karachi,,,,,,,,,,,,,,,,
49,Iqra University,1998,General,Private,Karachi,Islamabad,,,,,,,,,Sindh,Private,156.0,22.0,236.0,88.0,502.0
50,Dadabhoy Institute of Higher Education,2000,General,Private,Karachi,,,,13,37.54 ,,,,,Sindh,Private,14.0,12.0,21.0,16.0,63.0
51,Ilma University,2001,General,Private,Karachi,,,,,,,,,,Sindh,Private,57.0,0.0,189.0,11.0,257.0
53,Indus University,2004,General,Private,Karachi,,,,,,,,18,43.39 ,Sindh,Private,70.0,3.0,159.0,15.0,247.0
54,University of EAST,2004,General,Private,Hyderabad,,,,,,,,,,,,,,,,
57,Muhammad Ali Jinnah University,1998,General,Private,Karachi,,,,,,,,,,,,,,,,
59,Karachi School for Business and Leadership,2009,General,Private,Karachi,,,,,,,,,,,,,,,,
60,Habib University,2009,General,Private,Karachi,,,,,,,,,,Sindh,Private,11.0,13.0,27.0,35.0,86.0
61,Benazir Bhutto Shaheed University,2010,General,Public,Karachi,,,,,,,,,,,,,,,,
62,Shaheed Benazir Bhutto University,2010,General,Public,Nawabshah,,,,,,,,,,,,,,,,
66,Shaheed Zulfiqar Ali Bhutto University of Law,2012,General,Public,Karachi,,,,,,,,,,Sindh,Public,1.0,1.0,11.0,4.0,17.0
67,DHA Suffa University,2002,General,Private,Karachi,,,,,,,,,,Sindh,Private,22.0,2.0,66.0,25.0,115.0
68,Nazeer Hussain University,2012,General,Private,Karachi,,,,,,,,,,Sindh,Private,17.0,4.0,27.0,4.0,52.0
70,Shaheed Benazir Bhutto University of Veterinary and Animal Sciences,2013,General,Public,Karachi,,,,,,,,,,,,,,,,
71,Newports Institute of Communications and Economics,2013,General,Private,Karachi,,,,,,,,,,,,,,,,
72,Shaheed Benazir Bhutto City University,2013,General,Private,Karachi,,,,,,,,,,,,,,,,
73,Shaheed Benazir Bhutto Dewan University,2013,General,Private,Karachi,,,,,,,,,,Sindh,Private,11.0,2.0,15.0,3.0,31.0
75,Qalandar Shahbaz University of Modern Sciences,2013,General,Private,Karachi,,,,,,,,,,,,,,,,
77,Begum Nusrat Bhutto Women University,2018,General,Public,Sukkur,,,,,,,,,,,,,,,,
78,University of Sufism and Modern Sciences,2011,General,Public,Bhit Shah,,,,,,,,,,,,,,,,
79,Government College University Hyderabad,1917,General,Public,Hyderabad,,,,,,,,,,,,,,,,
81,Government College University,1864,General,Public,Lahore,,,,,,,,,,Punjab,Public,1.0,42.0,3.0,86.0,132.0
82,Forman Christian College,1864,General,Private,Lahore,,,,,,,,,,Punjab,Private,55.0,34.0,34.0,85.0,208.0
84,University of Veterinary and Animal Sciences,1882,General,Public,Lahore,"Jhang, Pattoki, Narowal, Layyah",10,66.78 ,,,,,,,Punjab,Public,34.0,36.0,135.0,133.0,338.0
85,University of the Punjab,1882,General,Public,Lahore,"Gujranwala, Jhelum, Khanspur",2,83.28 ,,,,,,,Punjab,Public,225.0,197.0,244.0,344.0,1010.0
87,University of Agriculture,1906,General,Public,Faisalabad,"Burewala, Toba Tek Singh, Depalpur",,,,,,,,,Punjab,Public,87.0,67.0,177.0,431.0,762.0
88,Namal Institute,2008,General,Private,Mianwali,,,,,,,,,,,,,,,,
89,Kinnaird College for Women University,1913,General,Public,Lahore,,,,,,,,,,,,,,,,
91,Lahore College for Women University,1922,General,Public,Lahore,Jhang,,,,,,,,,Punjab,Public,377.0,165.0,4.0,6.0,552.0
92,Government College University,1897,General,Public,Faisalabad,"Layyah, Sahiwal, Chiniot",,,,,,,,,Punjab,Public,168.0,85.0,192.0,250.0,695.0
94,National Textile University,1959,General,Public,Faisalabad,Karachi,,,,,,,10,51.09 ,Punjab,Public,30.0,3.0,86.0,45.0,164.0
95,Pir Mehr Ali Shah Arid Agriculture University,1970,General,Public,Rawalpindi,,,,,,,,,,Punjab,Public,32.0,27.0,59.0,124.0,242.0
96,Bahauddin Zakariya University,1975,General,Public,Multan,"Layyah, Vehari",,,,,,,,,Punjab,Public,86.0,68.0,167.0,280.0,601.0
97,Islamia University,1975,General,Public,Bahawalpur,"Bahawalnagar, Rahim Yar Khan",,,,,,,,,,,,,,,
99,Lahore University of Management Sciences,1984,General,Private,Lahore,,,,1,100.00 ,,,,,,,,,,,
101,Institute of Management Sciences,1987,General,Private,Lahore,,,,,,,,,,,,,,,,
103,National College of Business Administration and Economics,1994,General,Private,Lahore,"Multan, Bahawalpur, Rahim Yar Khan",,,,,,,,,,,,,,,
104,Lahore School of Economics,1997,General,Private,Lahore,,,,2,98.70 ,,,,,Punjab,Private,71.0,18.0,15.0,28.0,132.0
105,Fatima Jinnah Women University,1998,General,Public,Rawalpindi,,,,,,,,,,Punjab,Public,136.0,55.0,17.0,9.0,217.0
106,University of Sargodha,2002,General,Public,Sargodha,Bhakkar,,,,,,,,,Punjab,Public,168.0,38.0,299.0,211.0,716.0
108,University of Education,2002,General,Public,Lahore,"Attock, Dera Ghazi Khan, Faisalabad, Jauharabad, Multan, Vehari",,,,,,,,,Punjab,Public,142.0,44.0,83.0,87.0,356.0
109,GIFT University,2002,General,Private,Gujranwala,,,,11,54.66 ,,,,,Punjab,Private,10.0,6.0,53.0,16.0,85.0
110,Hajvery University,2002,General,Private,Lahore,Sheikhupura,,,,,,,,,Punjab,Private,67.0,4.0,126.0,18.0,215.0
111,University of Central Punjab,2002,General,Private,Lahore,,,,9,67.34 ,,,,,Punjab,Private,114.0,17.0,246.0,84.0,461.0
112,University of Faisalabad,2002,General,Private,Faisalabad,Lahore,,,,,,,,,,,,,,,
113,University of Lahore,1999,General,Private,Lahore,"Gujrat, Islamabad, Sargodha, Pakpattan",,,,,,,,,,,,,,,
114,Beaconhouse National University,2003,General,Private,Lahore,,,,,,,,,,Punjab,Private,34.0,6.0,39.0,8.0,87.0
115,University of South Asia,2003,General,Private,Lahore,,,,,,,,,,Punjab,Private,56.0,1.0,83.0,15.0,155.0
