,University,Established,Specialization,Type,Location,Campuses,Overall Ranking,Overall Score,Business School Ranking,Business School Score,Medicine School Ranking,Medicine School Score,Engineering School Ranking,Engineering School Score,Province,Sector,Female Non-PhD,Female PhD,Male Non-PhD,Male PhD,Grand Total
18,Shaheed Zulfiqar Ali Bhutto Medical University,2013,Medicine,Public,Islamabad,,,,,,,,,,Federal,Public,29.0,1.0,54.0,7.0,91.0
23,Liaquat University of Medical and Health Sciences,1881,Medicine,Public,Jamshoro,,,,,,8,50.56 ,,,Sindh,Public,168.0,8.0,227.0,6.0,409.0
26,Dow University of Health Sciences,1945,Medicine,Public,Karachi,,,,,,3,64.53 ,,,Sindh,Public,429.0,61.0,410.0,28.0,928.0
37,Baqai Medical University,1989,Medicine,Private,Karachi,,,,,,10,41.58 ,,,,,,,,,
45,Isra University,1997,Medicine,Private,Hyderabad,"Islamabad, Karachi",,,,,5,57.28 ,,,Sindh,Private,262.0,7.0,296.0,33.0,598.0
55,Aga Khan University,1983,Medicine,Private,Karachi,London[30],5,77.28 ,,,1,100.00 ,,,Sindh,Private,265.0,42.0,223.0,32.0,562.0
56,Shaheed Mohtarma Benazir Bhutto Medical University,2008,Medicine,Public,Larkana,,,,,,11,37.03 ,,,,,,,,,
58,Sindh Institute of Medical Sciences,2009,Medicine,Private,Karachi,,,,,,12,36.45 ,,,Sindh,Private,49.0,7.0,93.0,4.0,153.0
64,Pir Abdul Qadir Shah Jeelani Institute of Medical Sciences,2003[31],Medicine,Public,Khairpur,,,,,,,,,,,,,,,,
65,Jinnah Sindh Medical University,1973,Medicine,Public,Karachi,,,,,,,,,,Sindh,Public,134.0,16.0,117.0,7.0,274.0
69,Peoples University of Medical and Health Sciences for Women,2013,Medicine,Public,Nawabshah,,,,,,13,32.25 ,,,,,,,,,
80,King Edward Medical University,1860,Medicine,Public,Lahore,,,,,,6,53.62 ,,,Punjab,Public,146.0,6.0,173.0,6.0,331.0
93,Fatima Jinnah Medical University,1948,Medicine,Public,Lahore,,,,,,,,,,Punjab,Public,106.0,1.0,45.0,0.0,152.0
107,University of Health Sciences,2002,Medicine,Public,Lahore,,,,,,,,,,Punjab,Public,78.0,11.0,104.0,12.0,205.0
142,Faisalabad Medical University,1973,Medicine,Public,Faisalabad,,,,,,,,,,,,,,,,
143,Rawalpindi Medical University,1974,Medicine,Public,Rawalpindi,,,,,,,,,,Punjab,Public,89.0,0.0,68.0,0.0,157.0
144,Nishtar Medical University,1951,Medicine,Public,Multan,,,,,,,,,,,,,,,,
145,National University of Medical Sciences,2015,Medicine,Public,Rawalpindi,,,,,,,,,,Punjab,Public,88.0,6.0,36.0,4.0,134.0
177,Khyber Medical College,2007,Medicine,Public,Peshawar,"Abbottabad, Bannu, Dera Ismail Khan, Saidu Sharif",,,,,,,,,"Khyber
Pakhtunkhwa",Public,58.0,4.0,120.0,30.0,212.0
